date,price
2015-03-14,20.11944444
2015-03-21,16.275
2015-03-28,15.30625
2015-04-04,16.734375
2015-04-11,19.11022727
2015-04-18,17.075
2015-04-25,16.2125
2015-05-02,14.68055556
2015-05-09,14.41111111
2015-05-16,16.30625
2015-05-23,16.72395833
2015-05-30,16.41346154
2015-06-06,15.45454545
2015-06-13,12.2
2015-06-20,12.175
2015-06-27,12.9
2015-07-04,14.79166667
2015-07-11,15.41666667
2015-07-18,17.55555556
2015-07-25,18.66964286
2015-08-01,18.68194444
2015-08-08,16.01785714
2015-08-15,13.88888889
2015-08-22,12.53846154
2015-08-29,13.24107143
2015-09-05,13.75892857
2015-09-12,16.296875
2015-09-19,17.73214286
2015-09-26,17.74166667
2015-10-03,20.475
2015-10-10,20.125
2015-10-17,19.2125
2015-10-24,17.43181818
2015-10-31,14.79166667
2015-11-07,13.109375
2015-11-14,12.11458333
2015-11-21,13.04166667
2015-11-28,13.51041667
2015-12-05,12.890625
2015-12-12,13.55357143
2015-12-19,17.08333333
2015-12-26,17.6875
2016-01-02,22.875
2016-01-09,26.28125
2016-01-16,26.56944444
2016-01-23,25.203125
2016-01-30,24.23214286
2016-02-06,29.33928571
2016-02-13,29.825
2016-02-20,39.125
2016-02-27,38.76785714
2016-03-05,38.171875
2016-03-12,33.0625
2016-03-19,22.015625
2016-03-26,17.5078125
2016-04-02,16.653125
2016-04-09,19.375
2016-04-16,19.35555556
2016-04-23,20.371875
2016-04-30,19.125
2016-05-07,14.98125
2016-05-14,18.97222222
2016-05-21,18.38333333
2016-05-28,18.63125
2016-06-04,14.7
2016-06-11,13.90277778
2016-06-18,15.11111111
2016-06-25,14.91666667
2016-07-02,14.4625
2016-07-09,17.69791667
2016-07-16,19.16071429
2016-07-23,20.125
2016-07-30,16.4375
2016-08-06,15.95535714
2016-08-13,10.90625
2016-08-20,10.1125
2016-08-27,9.975
2016-09-03,13.40384615
2016-09-10,16.80681818
2016-09-17,19.75
2016-09-24,23.66964286
2016-10-01,19.09722222
2016-10-08,17.3125
2016-10-15,13.375
2016-10-22,13.5625
2016-10-29,12.28125
2016-11-05,13.20833333
2016-11-12,12.546875
2016-11-19,15.90277778
2016-11-26,19.39583333
2016-12-03,21.18928571
2016-12-10,22.35
2016-12-17,21.96428571
2016-12-24,21.51785714
2016-12-31,20.5
2017-01-07,17.75
2017-01-14,15.325
2017-01-21,15.2375
2017-01-28,17.16666667
2017-02-04,18.70833333
2017-02-11,21.89583333
2017-02-18,23.04583333
2017-02-25,21.84166667
2017-03-04,18.01666667
2017-03-11,13.19642857
2017-03-18,12.34821429
2017-03-25,12.40178571
2017-04-01,14.325
2017-04-08,14.78333333
2017-04-15,18.325
2017-04-22,16.8
2017-04-29,15.45
2017-05-06,15.4328125
2017-05-13,15.8546875
2017-05-20,18.77083333
2017-05-27,19.85125
2017-06-03,17.86375
2017-06-10,15.58333333
2017-06-17,14.72222222
2017-06-24,13.25
2017-07-01,14.375
2017-07-08,14.45
2017-07-15,13.796875
2017-07-22,17.125
2017-07-29,19.16346154
2017-08-05,18.875
2017-08-12,15.77941176
2017-08-19,15.807
2017-08-26,17.25277778
2017-09-02,16.62794118
2017-09-09,14.73076923
2017-09-16,12.38839286
2017-09-23,15.40446429
2017-09-30,11.77777778
2017-10-07,16.75
2017-10-14,15.34722222
2017-10-21,14.6953125
2017-10-28,9.958333333
2017-11-04,13.9375
2017-11-11,23.75
2017-11-18,33.16666667
2017-11-25,33.125
2017-12-02,31.5
2017-12-09,23.625
2017-12-16,17.29166667
2017-12-23,15.91666667
2017-12-30,15.60416667
2018-01-06,18.45833333
2018-01-13,23.75
2018-01-20,21.58333333
2018-01-27,19
2018-02-03,16.97916667
2018-02-10,15.21875
2018-02-17,13.22916667
2018-02-24,12.66666667
2018-03-03,12.14583333
2018-03-10,12.125
2018-03-17,15.20833333
2018-03-24,17.25
2018-03-31,21.10416667
2018-04-07,17.95833333
2018-04-14,16.0625
2018-04-21,15.64583333
2018-04-28,15.25
2018-05-05,15.60416667
2018-05-12,15.52083333
2018-05-19,15.95833333
2018-05-26,16.5
2018-06-02,15.09375
2018-06-09,13.45
2018-06-16,11
2018-06-23,17.828125
2018-06-30,16.575
2018-07-07,16.75
2018-07-14,17.3375
2018-07-21,16.17857143
2018-07-28,15.7109375
2018-08-04,12.5859375
2018-08-11,13.1375
2018-08-18,11.125
2018-08-25,11.72222222
2018-09-01,13.0078125
2018-09-08,15.35416667
2018-09-15,16.75
2018-09-22,16.3125
2018-09-29,17.84375
2018-10-06,20.39583333
2018-10-13,19.975
2018-10-20,28.5
2018-10-27,29.3125
2018-11-03,24.875
2018-11-10,28.025
2018-11-17,27.375
2018-11-24,23.375
2018-12-01,15.84375
2018-12-08,14.65625
2018-12-15,15.5
2018-12-22,15.09375
2018-12-29,15.91666667
2019-01-05,16.3125
2019-01-12,15.6875
2019-01-19,15.66666667
2019-01-26,19.65625
2019-02-02,23.9375
2019-02-09,28.5625
2019-02-16,27.83333333
2019-02-23,26.83333333
